communities,general_new_and_second-hand_housing,indices_and_rates,year,house_price_index_hpi
andalucia,general,media anual,2021,125.598
andalucia,general,media anual,2020,120.098
andalucia,general,media anual,2019,117.358
andalucia,general,media anual,2018,111.371
andalucia,general,media anual,2017,106.101
andalucia,general,media anual,2016,102.841
andalucia,general,media anual,2015,100.0
andalucia,general,media anual,2014,97.077
andalucia,general,media anual,2013,96.923
andalucia,general,media anual,2012,106.267
andalucia,general,media anual,2011,120.476
andalucia,general,media anual,2010,128.108
andalucia,general,media anual,2009,130.163
andalucia,general,media anual,2008,134.534
andalucia,general,media anual,2007,131.927
aragon,general,media anual,2021,124.019
aragon,general,media anual,2020,119.487
aragon,general,media anual,2019,116.513
aragon,general,media anual,2018,109.837
aragon,general,media anual,2017,104.788
aragon,general,media anual,2016,101.896
aragon,general,media anual,2015,100.0
aragon,general,media anual,2014,99.157
aragon,general,media anual,2013,101.492
aragon,general,media anual,2012,116.262
aragon,general,media anual,2011,135.826
aragon,general,media anual,2010,147.964
aragon,general,media anual,2009,156.466
aragon,general,media anual,2008,171.55
aragon,general,media anual,2007,176.744
asturias,general,media anual,2021,118.807
asturias,general,media anual,2020,114.072
asturias,general,media anual,2019,110.561
asturias,general,media anual,2018,106.123
asturias,general,media anual,2017,102.535
asturias,general,media anual,2016,101.418
asturias,general,media anual,2015,100.0
asturias,general,media anual,2014,98.51
asturias,general,media anual,2013,100.763
asturias,general,media anual,2012,114.537
asturias,general,media anual,2011,134.027
asturias,general,media anual,2010,142.195
asturias,general,media anual,2009,144.298
asturias,general,media anual,2008,145.647
asturias,general,media anual,2007,143.951
baleares,general,media anual,2021,143.803
baleares,general,media anual,2020,135.899
baleares,general,media anual,2019,130.597
baleares,general,media anual,2018,123.185
baleares,general,media anual,2017,114.627
baleares,general,media anual,2016,106.176
baleares,general,media anual,2015,100.0
baleares,general,media anual,2014,93.987
baleares,general,media anual,2013,93.581
baleares,general,media anual,2012,100.789
baleares,general,media anual,2011,116.98
baleares,general,media anual,2010,123.729
baleares,general,media anual,2009,126.278
baleares,general,media anual,2008,137.526
