operation,communities,demographic_concepts,year,total_births,total_marriages,total_functions
mnp estadistica de nacimientos,andalucia,nacimiento,2020,65522.0,15175.0,78461.0
mnp estadistica de nacimientos,andalucia,nacimiento,2019,69397.0,30500.0,72806.0
mnp estadistica de nacimientos,andalucia,nacimiento,2018,71029.0,29812.0,71234.0
mnp estadistica de nacimientos,andalucia,nacimiento,2017,74684.0,30499.0,69231.0
mnp estadistica de nacimientos,andalucia,nacimiento,2016,79263.0,31095.0,72001.0
mnp estadistica de nacimientos,andalucia,nacimiento,2015,80633.0,29941.0,66322.0
mnp estadistica de nacimientos,andalucia,nacimiento,2014,82195.0,28580.0,65690.0
mnp estadistica de nacimientos,andalucia,nacimiento,2013,81470.0,26442.0,68361.0
mnp estadistica de nacimientos,andalucia,nacimiento,2012,86375.0,29622.0,65702.0
mnp estadistica de nacimientos,andalucia,nacimiento,2011,89552.0,28296.0,64471.0
mnp estadistica de nacimientos,andalucia,nacimiento,2010,92201.0,29787.0,64730.0
mnp estadistica de nacimientos,andalucia,nacimiento,2009,94616.0,32185.0,65583.0
mnp estadistica de nacimientos,andalucia,nacimiento,2008,100293.0,38395.0,65224.0
mnp estadistica de nacimientos,andalucia,nacimiento,2007,96062.0,40527.0,
mnp estadistica de nacimientos,aragon,nacimiento,2020,9095.0,2285.0,16711.0
mnp estadistica de nacimientos,aragon,nacimiento,2019,9644.0,3893.0,13620.0
mnp estadistica de nacimientos,aragon,nacimiento,2018,9977.0,4159.0,14100.0
mnp estadistica de nacimientos,aragon,nacimiento,2017,10531.0,4294.0,14208.0
mnp estadistica de nacimientos,aragon,nacimiento,2016,10929.0,4425.0,13481.0
mnp estadistica de nacimientos,aragon,nacimiento,2015,11352.0,4300.0,14339.0
mnp estadistica de nacimientos,aragon,nacimiento,2014,11602.0,4221.0,13742.0
mnp estadistica de nacimientos,aragon,nacimiento,2013,11662.0,4376.0,13353.0
mnp estadistica de nacimientos,aragon,nacimiento,2012,11980.0,4716.0,13724.0
mnp estadistica de nacimientos,aragon,nacimiento,2011,12610.0,4315.0,13553.0
mnp estadistica de nacimientos,aragon,nacimiento,2010,12940.0,4493.0,13194.0
mnp estadistica de nacimientos,aragon,nacimiento,2009,13062.0,4768.0,13268.0
mnp estadistica de nacimientos,aragon,nacimiento,2008,13675.0,5086.0,13398.0
mnp estadistica de nacimientos,aragon,nacimiento,2007,12859.0,5346.0,13280.0
mnp estadistica de nacimientos,asturias,nacimiento,2020,4771.0,1849.0,14550.0
mnp estadistica de nacimientos,asturias,nacimiento,2019,5152.0,3696.0,12893.0
mnp estadistica de nacimientos,asturias,nacimiento,2018,5733.0,3475.0,13238.0
mnp estadistica de nacimientos,asturias,nacimiento,2017,6012.0,3634.0,13152.0
mnp estadistica de nacimientos,asturias,nacimiento,2016,6347.0,3727.0,13204.0
mnp estadistica de nacimientos,asturias,nacimiento,2015,6455.0,3537.0,13550.0
mnp estadistica de nacimientos,asturias,nacimiento,2014,6600.0,3547.0,12812.0
mnp estadistica de nacimientos,asturias,nacimiento,2013,6671.0,3363.0,12722.0
mnp estadistica de nacimientos,asturias,nacimiento,2012,7622.0,4012.0,13151.0
mnp estadistica de nacimientos,asturias,nacimiento,2011,7782.0,3930.0,12678.0
mnp estadistica de nacimientos,asturias,nacimiento,2010,7763.0,4287.0,12725.0
mnp estadistica de nacimientos,asturias,nacimiento,2009,8210.0,4537.0,12759.0
mnp estadistica de nacimientos,asturias,nacimiento,2008,8221.0,4837.0,12741.0
mnp estadistica de nacimientos,asturias,nacimiento,2007,7833.0,4906.0,12667.0
mnp estadistica de nacimientos,baleares,nacimiento,2020,9455.0,2960.0,8559.0
mnp estadistica de nacimientos,baleares,nacimiento,2019,9681.0,5010.0,7995.0
mnp estadistica de nacimientos,baleares,nacimiento,2018,10285.0,4809.0,8206.0
mnp estadistica de nacimientos,baleares,nacimiento,2017,10288.0,4750.0,8353.0
