communities,age_five-year_groups,spaniards/foreigners,sex,year,total_population
andalucia,total edades,total,ambos sexos,2021,8472407.0
andalucia,total edades,total,ambos sexos,2020,8464411.0
andalucia,total edades,total,ambos sexos,2019,8414240.0
andalucia,total edades,total,ambos sexos,2018,8384408.0
andalucia,total edades,total,ambos sexos,2017,8379820.0
andalucia,total edades,total,ambos sexos,2016,8388107.0
andalucia,total edades,total,ambos sexos,2015,8399043.0
andalucia,total edades,total,ambos sexos,2014,8402305.0
andalucia,total edades,total,ambos sexos,2013,8440300.0
andalucia,total edades,total,ambos sexos,2012,8449985.0
andalucia,total edades,total,ambos sexos,2011,8424102.0
andalucia,total edades,total,ambos sexos,2010,8370975.0
andalucia,total edades,total,ambos sexos,2009,8302923.0
andalucia,total edades,total,ambos sexos,2008,8202220.0
andalucia,total edades,total,ambos sexos,2007,8059461.0
andalucia,total edades,total,ambos sexos,2006,7975672.0
andalucia,total edades,total,ambos sexos,2005,7849799.0
andalucia,total edades,total,ambos sexos,2004,7687518.0
andalucia,total edades,total,ambos sexos,2003,7606848.0
andalucia,total edades,total,ambos sexos,2002,7478432.0
andalucia,total edades,total,ambos sexos,2001,7403968.0
andalucia,total edades,total,ambos sexos,2000,7340052.0
andalucia,total edades,total,ambos sexos,1999,7305117.0
andalucia,total edades,total,ambos sexos,1998,7236459.0
aragon,total edades,total,ambos sexos,2021,1326261.0
aragon,total edades,total,ambos sexos,2020,1329391.0
aragon,total edades,total,ambos sexos,2019,1319291.0
aragon,total edades,total,ambos sexos,2018,1308728.0
aragon,total edades,total,ambos sexos,2017,1308750.0
aragon,total edades,total,ambos sexos,2016,1308563.0
aragon,total edades,total,ambos sexos,2015,1317847.0
aragon,total edades,total,ambos sexos,2014,1325385.0
aragon,total edades,total,ambos sexos,2013,1347150.0
aragon,total edades,total,ambos sexos,2012,1349467.0
aragon,total edades,total,ambos sexos,2011,1346293.0
aragon,total edades,total,ambos sexos,2010,1347095.0
aragon,total edades,total,ambos sexos,2009,1345473.0
aragon,total edades,total,ambos sexos,2008,1326918.0
aragon,total edades,total,ambos sexos,2007,1296655.0
aragon,total edades,total,ambos sexos,2006,1277471.0
aragon,total edades,total,ambos sexos,2005,1269027.0
aragon,total edades,total,ambos sexos,2004,1249584.0
aragon,total edades,total,ambos sexos,2003,1230090.0
aragon,total edades,total,ambos sexos,2002,1217514.0
aragon,total edades,total,ambos sexos,2001,1199753.0
aragon,total edades,total,ambos sexos,2000,1189909.0
aragon,total edades,total,ambos sexos,1999,1186849.0
aragon,total edades,total,ambos sexos,1998,1183234.0
asturias,total edades,total,ambos sexos,2021,1011792.0
asturias,total edades,total,ambos sexos,2020,1018784.0
asturias,total edades,total,ambos sexos,2019,1022800.0
asturias,total edades,total,ambos sexos,2018,1028244.0
asturias,total edades,total,ambos sexos,2017,1034960.0
asturias,total edades,total,ambos sexos,2016,1042608.0
asturias,total edades,total,ambos sexos,2015,1051229.0
asturias,total edades,total,ambos sexos,2014,1061756.0
asturias,total edades,total,ambos sexos,2013,1068165.0
asturias,total edades,total,ambos sexos,2012,1077360.0
asturias,total edades,total,ambos sexos,2011,1081487.0
asturias,total edades,total,ambos sexos,2010,1084341.0
asturias,total edades,total,ambos sexos,2009,1085289.0
asturias,total edades,total,ambos sexos,2008,1080138.0
asturias,total edades,total,ambos sexos,2007,1074862.0
asturias,total edades,total,ambos sexos,2006,1076896.0
asturias,total edades,total,ambos sexos,2005,1076635.0
asturias,total edades,total,ambos sexos,2004,1073761.0
asturias,total edades,total,ambos sexos,2003,1075381.0
asturias,total edades,total,ambos sexos,2002,1073971.0
asturias,total edades,total,ambos sexos,2001,1075329.0
asturias,total edades,total,ambos sexos,2000,1076567.0
asturias,total edades,total,ambos sexos,1999,1084314.0
asturias,total edades,total,ambos sexos,1998,1081834.0
baleares,total edades,total,ambos sexos,2021,1173008.0
baleares,total edades,total,ambos sexos,2020,1171543.0
baleares,total edades,total,ambos sexos,2019,1149460.0
baleares,total edades,total,ambos sexos,2018,1128908.0
baleares,total edades,total,ambos sexos,2017,1115999.0
baleares,total edades,total,ambos sexos,2016,1107220.0
baleares,total edades,total,ambos sexos,2015,1104479.0
baleares,total edades,total,ambos sexos,2014,1103442.0
baleares,total edades,total,ambos sexos,2013,1111674.0
baleares,total edades,total,ambos sexos,2012,1119439.0
baleares,total edades,total,ambos sexos,2011,1113114.0
baleares,total edades,total,ambos sexos,2010,1106049.0
baleares,total edades,total,ambos sexos,2009,1095426.0
baleares,total edades,total,ambos sexos,2008,1072844.0
baleares,total edades,total,ambos sexos,2007,1030650.0
baleares,total edades,total,ambos sexos,2006,1001062.0
baleares,total edades,total,ambos sexos,2005,983131.0
baleares,total edades,total,ambos sexos,2004,955045.0
baleares,total edades,total,ambos sexos,2003,947361.0
baleares,total edades,total,ambos sexos,2002,916968.0
baleares,total edades,total,ambos sexos,2001,878627.0
baleares,total edades,total,ambos sexos,2000,845630.0
baleares,total edades,total,ambos sexos,1999,821820.0
baleares,total edades,total,ambos sexos,1998,796483.0
canarias,total edades,total,ambos sexos,2021,2172944.0
canarias,total edades,total,ambos sexos,2020,2175952.0
canarias,total edades,total,ambos sexos,2019,2153389.0
canarias,total edades,total,ambos sexos,2018,2127685.0
canarias,total edades,total,ambos sexos,2017,2108121.0
canarias,total edades,total,ambos sexos,2016,2101924.0
canarias,total edades,total,ambos sexos,2015,2100306.0
canarias,total edades,total,ambos sexos,2014,2104815.0
canarias,total edades,total,ambos sexos,2013,2118679.0
canarias,total edades,total,ambos sexos,2012,2118344.0
canarias,total edades,total,ambos sexos,2011,2126769.0
canarias,total edades,total,ambos sexos,2010,2118519.0
canarias,total edades,total,ambos sexos,2009,2103992.0
canarias,total edades,total,ambos sexos,2008,2075968.0
canarias,total edades,total,ambos sexos,2007,2025951.0
canarias,total edades,total,ambos sexos,2006,1995833.0
canarias,total edades,total,ambos sexos,2005,1968280.0
canarias,total edades,total,ambos sexos,2004,1915540.0
canarias,total edades,total,ambos sexos,2003,1894868.0
