communities,year,total_number_of_companies,total_capital_subscribed,total_capital_paid_up,house_price_index_hpi,consumer_price_index_cpi,cost_per_mortgage,total_births,total_marriages,total_functions,occupied_population,total_gdp,total_population
andalucia,2020,13654.0,635457.0,619582.0,120.098,96.956,132.0,65522.0,15175.0,78461.0,3107200.0,150556999,8464411.0
andalucia,2019,15561.0,559078.0,557706.0,117.358,97.157,131.0,69397.0,30500.0,72806.0,3106200.0,165000524,8414240.0
andalucia,2018,16018.0,712138.0,711183.0,111.371,96.681,123.0,71029.0,29812.0,71234.0,2967700.0,160580547,8384408.0
andalucia,2017,15381.0,644403.0,639265.0,106.101,95.182,118.0,74684.0,30499.0,69231.0,2908400.0,155371755,8379820.0
andalucia,2016,16689.0,716249.0,713072.0,102.841,93.366,109.0,79263.0,31095.0,72001.0,2814300.0,148405362,8388107.0
aragon,2020,1543.0,174443.0,174443.0,119.487,96.683,131.0,9095.0,2285.0,16711.0,582100.0,35289952,1329391.0
aragon,2019,1913.0,161767.0,155767.0,116.513,97.156,136.0,9644.0,3893.0,13620.0,577200.0,38084387,1319291.0
aragon,2018,2016.0,84826.0,84664.0,109.837,96.494,138.0,9977.0,4159.0,14100.0,561100.0,36868560,1308728.0
aragon,2017,2037.0,90338.0,89880.0,104.788,94.91,111.0,10531.0,4294.0,14208.0,557600.0,35638352,1308750.0
aragon,2016,2526.0,168490.0,168447.0,101.896,93.223,110.0,10929.0,4425.0,13481.0,548300.0,34214691,1308563.0
asturias,2020,1035.0,44330.0,44285.0,114.072,97.059,125.0,4771.0,1849.0,14550.0,387600.0,21474791,1018784.0
asturias,2019,1164.0,78419.0,78102.0,110.561,97.553,110.0,5152.0,3696.0,12893.0,385400.0,23705903,1022800.0
asturias,2018,1188.0,61191.0,61071.0,106.123,97.096,115.0,5733.0,3475.0,13238.0,387900.0,23224857,1028244.0
asturias,2017,1344.0,61833.0,61788.0,102.535,95.628,118.0,6012.0,3634.0,13152.0,394100.0,22592548,1034960.0
asturias,2016,1458.0,71182.0,71092.0,101.418,93.955,107.0,6347.0,3727.0,13204.0,375400.0,21694246,1042608.0
baleares,2020,2571.0,204885.0,204210.0,135.899,96.789,203.0,9455.0,2960.0,8559.0,503010.0,26789155,1171543.0
baleares,2019,3001.0,167593.0,165001.0,130.597,97.08,221.0,9681.0,5010.0,7995.0,516100.0,34172158,1149460.0
baleares,2018,3293.0,239546.0,239461.0,123.185,96.614,227.0,10285.0,4809.0,8206.0,488700.0,32740955,1128908.0
baleares,2017,3498.0,168549.0,168469.0,114.627,95.198,194.0,10288.0,4750.0,8353.0,489500.0,31383376,1115999.0
baleares,2016,3589.0,498911.0,498172.0,106.176,93.214,177.0,10616.0,4751.0,7939.0,491100.0,29831313,1107220.0
canarias,2020,2661.0,249958.0,249661.0,118.96,97.828,164.0,13178.0,4869.0,16486.0,930200.0,39162597,2175952.0
canarias,2019,3385.0,127270.0,126535.0,117.587,97.298,143.0,14137.0,7720.0,15900.0,892500.0,47483461,2153389.0
canarias,2018,3639.0,92057.0,90842.0,113.276,96.979,108.0,14775.0,7731.0,16310.0,879500.0,45830435,2127685.0
canarias,2017,3851.0,186423.0,186258.0,107.888,95.506,115.0,15779.0,7563.0,15254.0,809700.0,44205400,2108121.0
canarias,2016,3815.0,204789.0,204608.0,103.344,93.82,100.0,16159.0,7392.0,15035.0,811800.0,42013704,2101924.0
cantabria,2020,592.0,23274.0,23274.0,117.829,96.847,108.0,3407.0,1146.0,6467.0,239200.0,12866634,582905.0
cantabria,2019,642.0,24272.0,24272.0,116.423,97.183,113.0,3547.0,2005.0,6013.0,237300.0,14168880,581078.0
cantabria,2018,754.0,48402.0,48402.0,112.938,96.52,109.0,3805.0,2108.0,6096.0,235600.0,13743179,580229.0
cantabria,2017,762.0,16607.0,16607.0,106.683,94.893,100.0,4118.0,2121.0,5958.0,235100.0,13226038,580295.0
cantabria,2016,981.0,20253.0,20253.0,102.547,93.051,110.0,4244.0,2264.0,5936.0,222100.0,12736089,582206.0
castilla_la_mancha,2020,2232.0,54164.0,54059.0,109.029,96.441,100.0,14738.0,3226.0,25835.0,800900.0,39572837,2045221.0
castilla_la_mancha,2019,2739.0,109297.0,109202.0,107.643,96.992,93.0,15316.0,6942.0,19467.0,829500.0,42489519,2032863.0
castilla_la_mancha,2018,2836.0,157701.0,157611.0,103.975,96.415,105.0,15845.0,7163.0,19574.0,777200.0,41479349,2026807.0
castilla_la_mancha,2017,2618.0,67132.0,67087.0,101.582,94.656,104.0,16864.0,7139.0,20208.0,770800.0,39891219,2031479.0
castilla_la_mancha,2016,2976.0,72233.0,71933.0,100.838,92.757,99.0,17792.0,7361.0,19144.0,733200.0,38315029,2041631.0
castilla_y_leon,2020,2188.0,123995.0,123980.0,114.719,96.605,102.0,13652.0,3367.0,36197.0,984300.0,55401268,2394918.0
castilla_y_leon,2019,2811.0,167615.0,167526.0,112.083,97.142,109.0,14323.0,6864.0,28719.0,964600.0,59852213,2399548.0
castilla_y_leon,2018,2731.0,141780.0,141735.0,106.921,96.333,106.0,15044.0,7184.0,29297.0,957900.0,58544593,2409164.0
castilla_y_leon,2017,2857.0,147179.0,146374.0,102.71,94.693,100.0,15509.0,7661.0,28979.0,959100.0,56051831,2425801.0
castilla_y_leon,2016,3014.0,196911.0,196911.0,101.056,92.718,109.0,16675.0,7550.0,28436.0,932800.0,54767172,2447519.0
catalunia,2020,15023.0,901428.0,897221.0,136.892,97.162,195.0,58464.0,15662.0,79784.0,3451200.0,212931347,7780479.0
catalunia,2019,18139.0,1143436.0,1141905.0,134.144,97.568,177.0,61548.0,27016.0,64547.0,3391000.0,237504612,7675217.0
catalunia,2018,17555.0,735932.0,734456.0,127.548,96.739,166.0,63566.0,27738.0,66562.0,3303300.0,229098023,7600065.0
catalunia,2017,18504.0,1025095.0,1014422.0,117.26,94.993,161.0,66803.0,29335.0,66165.0,3197900.0,221476488,7555830.0
catalunia,2016,21769.0,950541.0,945814.0,107.02,92.956,159.0,68908.0,29355.0,63289.0,3127600.0,212703912,7522596.0
ceuta,2016,82.0,1820.0,1820.0,105.155,95.261,115.0,1060.0,497.0,508.0,28100.0,1636511,84519.0
ceuta,2020,57.0,1012.0,1012.0,136.953,97.423,125.0,843.0,257.0,648.0,29300.0,1642136,84202.0
ceuta,2019,87.0,2125.0,2125.0,131.165,97.832,116.0,841.0,512.0,537.0,29300.0,1770462,84777.0
ceuta,2018,98.0,1626.0,1626.0,121.766,97.523,107.0,972.0,431.0,535.0,26600.0,1720339,85144.0
ceuta,2017,71.0,435.0,435.0,112.251,96.755,114.0,1045.0,448.0,560.0,28700.0,1659859,84959.0
extremadura,2020,1014.0,56380.0,56335.0,106.309,96.756,94.0,7380.0,1582.0,13099.0,375900.0,19385729,1063987.0
extremadura,2019,1136.0,26978.0,26978.0,105.765,96.927,113.0,7650.0,3032.0,11261.0,386100.0,20516661,1067710.0
extremadura,2018,1138.0,51937.0,51937.0,103.737,96.389,98.0,7821.0,3332.0,11451.0,366700.0,20090192,1072863.0
extremadura,2016,1248.0,74082.0,67980.0,101.43,93.351,95.0,8783.0,3630.0,11237.0,357500.0,18504343,1087778.0
extremadura,2017,1151.0,64104.0,64104.0,101.85,94.914,105.0,8495.0,3519.0,11585.0,351400.0,19534814,1079920.0
galicia,2019,3772.0,373797.0,373717.0,111.998,96.942,105.0,15718.0,9295.0,31268.0,1080200.0,64348888,2699499.0
galicia,2020,3212.0,364637.0,364507.0,114.516,96.613,103.0,15247.0,5617.0,32845.0,1083010.0,59105226,2701819.0
galicia,2018,4025.0,271507.0,271280.0,107.673,96.398,98.0,16560.0,8637.0,32419.0,1050100.0,62427620,2701743.0
galicia,2017,4068.0,317134.0,316900.0,103.717,94.828,103.0,18445.0,9287.0,31962.0,1033600.0,60394810,2708339.0
galicia,2016,4533.0,204576.0,204287.0,101.957,92.864,99.0,19062.0,9379.0,31757.0,1021100.0,58279948,2718525.0
madrid,2020,17965.0,1336739.0,1320798.0,143.56,97.338,203.0,52357.0,12965.0,66648.0,3147001.0,216527407,6779888.0
madrid,2019,21784.0,1038905.0,1014632.0,141.142,97.683,202.0,55741.0,24538.0,47165.0,3032001.0,241039907,6663394.0
