communities,location_of_previous_municipality_of_residence,length_of_residence_in_the_municipality,year,occupied_population
andalucia,total,total,2021,3052300.0
andalucia,total,total,2020,3107200.0
andalucia,total,total,2019,3106200.0
andalucia,total,total,2018,2967700.0
andalucia,total,total,2017,2908400.0
andalucia,total,total,2016,2814300.0
andalucia,total,total,2015,2683700.0
andalucia,total,total,2014,2612700.0
andalucia,total,total,2013,2547500.0
andalucia,total,total,2012,2705300.0
andalucia,total,total,2011,2832500.0
andalucia,total,total,2010,2905600.0
aragon,total,total,2021,566500.0
aragon,total,total,2020,582100.0
aragon,total,total,2019,577200.0
aragon,total,total,2018,561100.0
aragon,total,total,2017,557600.0
aragon,total,total,2016,548300.0
aragon,total,total,2015,524500.0
aragon,total,total,2014,500900.0
aragon,total,total,2013,511800.0
aragon,total,total,2012,543200.0
aragon,total,total,2011,539400.0
aragon,total,total,2010,568700.0
asturias,total,total,2021,384400.0
asturias,total,total,2020,387600.0
asturias,total,total,2019,385400.0
asturias,total,total,2018,387900.0
asturias,total,total,2017,394100.0
asturias,total,total,2016,375400.0
asturias,total,total,2015,371800.0
asturias,total,total,2014,371100.0
asturias,total,total,2013,368400.0
asturias,total,total,2012,383200.0
asturias,total,total,2011,397500.0
asturias,total,total,2010,409800.0
baleares,total,total,2021,502010.0
baleares,total,total,2020,503010.0
baleares,total,total,2019,516100.0
baleares,total,total,2018,488700.0
baleares,total,total,2017,489500.0
baleares,total,total,2016,491100.0
baleares,total,total,2015,455900.0
baleares,total,total,2014,418500.0
baleares,total,total,2013,429500.0
baleares,total,total,2012,428200.0
baleares,total,total,2011,430700.0
baleares,total,total,2010,448010.0
canarias,total,total,2021,800100.0
canarias,total,total,2020,930200.0
canarias,total,total,2019,892500.0
canarias,total,total,2018,879500.0
canarias,total,total,2017,809700.0
canarias,total,total,2016,811800.0
canarias,total,total,2015,771500.0
canarias,total,total,2014,737600.0
canarias,total,total,2013,735200.0
canarias,total,total,2012,752500.0
canarias,total,total,2011,770500.0
canarias,total,total,2010,767900.0
cantabria,total,total,2021,238500.0
cantabria,total,total,2020,239200.0
cantabria,total,total,2019,237300.0
cantabria,total,total,2018,235600.0
cantabria,total,total,2017,235100.0
cantabria,total,total,2016,222100.0
cantabria,total,total,2015,226300.0
cantabria,total,total,2014,220200.0
cantabria,total,total,2013,221010.0
cantabria,total,total,2012,234600.0
cantabria,total,total,2011,233400.0
cantabria,total,total,2010,241010.0
castilla_y_leon,total,total,2021,955100.0
castilla_y_leon,total,total,2020,984300.0
castilla_y_leon,total,total,2019,964600.0
castilla_y_leon,total,total,2018,957900.0
castilla_y_leon,total,total,2017,959100.0
castilla_y_leon,total,total,2016,932800.0
castilla_y_leon,total,total,2015,913300.0
castilla_y_leon,total,total,2014,901500.0
castilla_y_leon,total,total,2013,907500.0
castilla_y_leon,total,total,2012,955010.0
castilla_y_leon,total,total,2011,978800.0
castilla_y_leon,total,total,2010,995400.0
castilla_la_mancha,total,total,2021,814100.0
castilla_la_mancha,total,total,2020,800900.0
castilla_la_mancha,total,total,2019,829500.0
castilla_la_mancha,total,total,2018,777200.0
castilla_la_mancha,total,total,2017,770800.0
castilla_la_mancha,total,total,2016,733200.0
castilla_la_mancha,total,total,2015,707010.0
castilla_la_mancha,total,total,2014,705300.0
castilla_la_mancha,total,total,2013,699600.0
castilla_la_mancha,total,total,2012,744800.0
castilla_la_mancha,total,total,2011,786800.0
castilla_la_mancha,total,total,2010,784200.0
catalunia,total,total,2021,3373900.0
catalunia,total,total,2020,3451200.0
catalunia,total,total,2019,3391000.0
catalunia,total,total,2018,3303300.0
catalunia,total,total,2017,3197900.0
catalunia,total,total,2016,3127600.0
catalunia,total,total,2015,3023200.0
catalunia,total,total,2014,2960700.0
catalunia,total,total,2013,2933200.0
catalunia,total,total,2012,3072500.0
catalunia,total,total,2011,3213000.0
catalunia,total,total,2010,3210900.0
valencia,total,total,2021,1993800.0
valencia,total,total,2020,2074300.0
valencia,total,total,2019,2053400.0
valencia,total,total,2018,1997700.0
valencia,total,total,2017,1944600.0
valencia,total,total,2016,1892800.0
valencia,total,total,2015,1836300.0
valencia,total,total,2014,1752700.0
valencia,total,total,2013,1761000.0
valencia,total,total,2012,1815300.0
valencia,total,total,2011,1883900.0
valencia,total,total,2010,1940100.0
extremadura,total,total,2021,373100.0
extremadura,total,total,2020,375900.0
extremadura,total,total,2019,386100.0
extremadura,total,total,2018,366700.0
extremadura,total,total,2017,351400.0
extremadura,total,total,2016,357500.0
extremadura,total,total,2015,350100.0
extremadura,total,total,2014,339200.0
extremadura,total,total,2013,331900.0
extremadura,total,total,2012,338900.0
extremadura,total,total,2011,376900.0
extremadura,total,total,2010,376800.0
galicia,total,total,2021,1059800.0
galicia,total,total,2020,1083010.0
galicia,total,total,2019,1080200.0
galicia,total,total,2018,1050100.0
galicia,total,total,2017,1033600.0
galicia,total,total,2016,1021100.0
galicia,total,total,2015,987500.0
galicia,total,total,2014,982800.0
galicia,total,total,2013,1005600.0
galicia,total,total,2012,1057000.0
galicia,total,total,2011,1085500.0
galicia,total,total,2010,1100200.0
madrid,total,total,2021,3107900.0
madrid,total,total,2020,3147001.0
madrid,total,total,2019,3032001.0
madrid,total,total,2018,2948900.0
madrid,total,total,2017,2856600.0
madrid,total,total,2016,2817001.0
madrid,total,total,2015,2786600.0
madrid,total,total,2014,2636100.0
madrid,total,total,2013,2760700.0
madrid,total,total,2012,2837300.0
madrid,total,total,2011,2930300.0
madrid,total,total,2010,2930100.0
murcia,total,total,2021,612900.0
murcia,total,total,2020,604800.0
murcia,total,total,2019,602900.0
murcia,total,total,2018,573300.0
murcia,total,total,2017,570800.0
murcia,total,total,2016,542010.0
murcia,total,total,2015,513400.0
murcia,total,total,2014,522900.0
murcia,total,total,2013,504700.0
murcia,total,total,2012,534010.0
murcia,total,total,2011,538800.0
murcia,total,total,2010,559900.0
navarra,total,total,2021,277700.0
navarra,total,total,2020,284300.0
navarra,total,total,2019,283700.0
navarra,total,total,2018,276100.0
navarra,total,total,2017,276010.0
navarra,total,total,2016,262800.0
navarra,total,total,2015,258200.0
navarra,total,total,2014,260300.0
navarra,total,total,2013,256800.0
navarra,total,total,2012,266200.0
navarra,total,total,2011,278900.0
navarra,total,total,2010,276200.0
pais_vasco,total,total,2021,901400.0
pais_vasco,total,total,2020,930010.0
pais_vasco,total,total,2019,935900.0
pais_vasco,total,total,2018,913300.0
pais_vasco,total,total,2017,894400.0
pais_vasco,total,total,2016,896800.0
pais_vasco,total,total,2015,870300.0
pais_vasco,total,total,2014,851600.0
pais_vasco,total,total,2013,880600.0
pais_vasco,total,total,2012,918500.0
pais_vasco,total,total,2011,959300.0
pais_vasco,total,total,2010,949600.0
,total,total,2021,136800.0
,total,total,2020,138800.0
,total,total,2019,138300.0
,total,total,2018,134900.0
,total,total,2017,134300.0
,total,total,2016,130300.0
,total,total,2015,126900.0
,total,total,2014,125400.0
,total,total,2013,124100.0
,total,total,2012,127800.0
,total,total,2011,135900.0
,total,total,2010,135500.0
ceuta,total,total,2021,25500.0
ceuta,total,total,2020,29300.0
ceuta,total,total,2019,29300.0
ceuta,total,total,2018,26600.0
ceuta,total,total,2017,28700.0
ceuta,total,total,2016,28100.0
ceuta,total,total,2015,25200.0
ceuta,total,total,2014,25200.0
ceuta,total,total,2013,25800.0
ceuta,total,total,2012,25300.0
ceuta,total,total,2011,26800.0
ceuta,total,total,2010,27700.0
melilla,total,total,2021,31300.0
melilla,total,total,2020,28300.0
melilla,total,total,2019,29500.0
melilla,total,total,2018,27700.0
melilla,total,total,2017,25400.0
melilla,total,total,2016,24400.0
melilla,total,total,2015,23200.0
melilla,total,total,2014,25800.0
melilla,total,total,2013,25300.0
melilla,total,total,2012,25400.0
melilla,total,total,2011,27300.0
melilla,total,total,2010,25100.0
