communities,nature_of_the_estate,number_and_amount,year,total_number_of_mortgages,total_mortgage_amount,cost_per_mortgage
andalucia,total fincas,numero de hipotecas,2021,109745.0,13816584.0,126.0
andalucia,total fincas,numero de hipotecas,2020,85304.0,11238877.0,132.0
andalucia,total fincas,numero de hipotecas,2019,92707.0,12184922.0,131.0
andalucia,total fincas,numero de hipotecas,2018,90159.0,11132253.0,123.0
andalucia,total fincas,numero de hipotecas,2017,81417.0,9580563.0,118.0
andalucia,total fincas,numero de hipotecas,2016,76240.0,8319417.0,109.0
andalucia,total fincas,numero de hipotecas,2015,68187.0,7293741.0,107.0
andalucia,total fincas,numero de hipotecas,2014,59304.0,6122618.0,103.0
andalucia,total fincas,numero de hipotecas,2013,61982.0,6515230.0,105.0
andalucia,total fincas,numero de hipotecas,2012,88852.0,8983839.0,101.0
andalucia,total fincas,numero de hipotecas,2011,128331.0,12816382.0,100.0
andalucia,total fincas,numero de hipotecas,2010,167961.0,18819761.0,112.0
andalucia,total fincas,numero de hipotecas,2009,200498.0,24437064.0,122.0
andalucia,total fincas,numero de hipotecas,2008,243019.0,35559521.0,146.0
andalucia,total fincas,numero de hipotecas,2007,370646.0,54469929.0,147.0
andalucia,total fincas,numero de hipotecas,2006,404875.0,55736193.0,138.0
andalucia,total fincas,numero de hipotecas,2005,386388.0,47593826.0,123.0
andalucia,total fincas,numero de hipotecas,2004,334571.0,36615280.0,109.0
andalucia,total fincas,numero de hipotecas,2003,255454.0,23724761.0,93.0
aragon,total fincas,numero de hipotecas,2021,15564.0,1903995.0,122.0
aragon,total fincas,numero de hipotecas,2020,13675.0,1786601.0,131.0
aragon,total fincas,numero de hipotecas,2019,13354.0,1814233.0,136.0
aragon,total fincas,numero de hipotecas,2018,13383.0,1850497.0,138.0
aragon,total fincas,numero de hipotecas,2017,12900.0,1428860.0,111.0
aragon,total fincas,numero de hipotecas,2016,12760.0,1398063.0,110.0
aragon,total fincas,numero de hipotecas,2015,11097.0,1477207.0,133.0
aragon,total fincas,numero de hipotecas,2014,9792.0,1490615.0,152.0
aragon,total fincas,numero de hipotecas,2013,11886.0,1239139.0,104.0
aragon,total fincas,numero de hipotecas,2012,14339.0,1451324.0,101.0
aragon,total fincas,numero de hipotecas,2011,19216.0,2463947.0,128.0
